,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng,is_food
18282,12,Whataburger  1520 Keller Parkway ,4.8,52,"Burgers, Fast Food, Burgers, Sandwiches, American",2,"1520, Keller, TX, 76248",76248,32.93424,-97.21745,0
9682,23,Molly Ramen_Poke_Tea,4.7,163,"Asian Fusion, Japanese, Healthy",2,"869 Lynnhaven Pkwy, Virginia Beach, VA, 23452",23452,36.8124629,-76.0720527,0
7303,118,Applebee's  Lakewood ,4.3,144,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",2,"10407 Gravelly Lake Dr., Lakewood, WA, 98499",98499,47.1628067,-122.5184487,0
4052,92,Red Bamboo Bistro,4.2,11,"Chinese, Family Meals",2,"1306 Union Ave NE, Renton, WA, 98059",98059,47.5046853,-122.1643975,0
14183,80,IHOP 1743,4.1,51,"American, Breakfast and Brunch, Family Meals",2,"947 W, Riverdale, UT, 84405",84405,41.1767957,-112.0022461,0
11385,229,756-Bonefish Grill  11251 W Broad Street ,4.7,74,"American, Seafood, Family Meals",2,"11251 W Broad St, Glen Allen, VA, 23060",23060,37.6489911,-77.6025043,0
4818,121,Denny's  NE Hassalo ,4.3,97,"American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy",2,"425 Ne Hassalo St, Portland, OR, 97232",97232,45.5310212,-122.6609239,0
6670,86,Poke Plus,4.8,150,"Japanese, Hawaiian",2,"811 E Pike St, Seattle, WA, 98122",98122,47.6138757,-122.3217776,0
15897,72,Your Stop,4.8,42,"Alcohol, Drinks, Wine, Liquor Stores",2,"2433 Parkcrest Drive, Garland, TX, 75041",75041,32.89129,-96.6648881,0
16188,2,P.F. Chang's  Lubbock ,4.5,200,"Chinese, Family Friendly, Group Friendly",2,"2906 W. Loop 289, Lubbock, TX, 79407",79407,33.56798081,-101.9451743,0
2812,10,Kaf̩ Neo  Mill Creek ,4.9,134,"Greek, Mediterranean, Gluten Free Friendly, Vegetarian Friendly",2,"15130 Main St, Mill Creek, WA, 98012",98012,47.8602421,-122.2206221,0
13242,64,Papa Johns  2108 N Glebe Rd ,4.8,43,"Pizza, Wings, Desserts",2,"2108 N Glebe Rd, Arlington, VA, 22207",22207,38.8960992,-77.122626,0
12072,3,Sonic  969 Providence Road ,4.1,90,"American, Fast Food, Burgers",2,"969 Providence Road, Chesapeake, VA, 23325",23325,36.81064,-76.21966,0
13058,154,Carrabba's  19935 Century Blvd ,4.7,264,"Italian, Family Meals, Family Friendly",2,"19935 Century Blvd, Germantown, MD, 20874",20874,39.1818302,-77.2616987,0
